id	lexicalForm	sub-type	type	Alt tür	Grup	flags	rules	surfaces	emptySurface	Zemberek Karşılığı	Oflazer Karşılığı	Örnekler	İstisnalar	Açıklama
FC_KIP_ISTEK_sAnA	sAnA	NI	I	FC	Kip		DONUSUM_A, 	sana, sene, 		FIIL_ISTEK_SENE		yapsana, gelsene		
FC_KIP_ISTEK_sAnIzA	sAnIzA	NI	I	FC	Kip		DONUSUM_A, DONUSUM_I, 	sanıza, senize, 		FIIL_ISTEK_SENIZE		yapsanıza, gelsenize		
FC_KIP_GEREKLILIK_mAlI	mAlI	NI	I	FC	Kip		DONUSUM_A, DONUSUM_I, 	meli, malı, 		FIIL_ZORUNLULUK_MELI	VVI_TNECE	gelmeli, kalmalı		
FC_KIP_DILEK_sA	sA	NI	I	FC	Kip		DONUSUM_A, 	se, sa, 		FIIL_SART_SE	VVI_TCOND	gelse, kalsa		
FC_ZAMAN_GECMIS_DU	DU	NI	I	FC	FIIL_ZAMAN		DONUSUM_D, DONUSUM_U, 	dı, di, du, dü, tı, ti, tu, tü, 		FIIL_GECMISZAMAN_DI	VVI_TPAST	sardı, geldi, sordu, gördü, gitti, kaçtı, buldu, söktü		Görülen geçmiş zaman da denir.
FC_ZAMAN_GECMIS_mUş	mUş	NI	I	FC	FIIL_ZAMAN		DONUSUM_U, 	mış, miş, muş, müş, 		FIIL_GECMISZAMAN_MIS	VVI_TNARR	kalmış, gelmiş, bulmuş, ölmüş		Öğrenilen geçmiş zaman da denir.
FC_ZAMAN_GELECEK_(y)AcAK	yAcAk	NI	I	FC	FIIL_ZAMAN		DONUSUM_A, DUSME_UNSUZ, YUMUSAMA_kğ, 	acak, ecek, yacak, yecek, acağ, eceğ, yeceğ, yacağ, 		FIIL_GELECEKZAMAN_ECEK	VVI_TFUTR	kalacak, gelecek, bekleyecek, saklayacak, bekleyeceğim, bakacağım, geleceğim, saklayacağım		
FC_ZAMAN_SIMDIKI_(U)yor	Uyor	NI	I	FC	FIIL_ZAMAN		OZEL_UYOR, DONUSUM_U, 	ıyor, iyor, uyor, üyor, yor, 		FIIL_SIMDIKIZAMAN_IYOR	VVI_TPROG	yiyor, bakıyor, geliyor, oluyor, görüyor	ekliyor, gözlüyor, anlıyor	Ünlü ile biten fiillerde daralmaya sebep olur.
FC_ZAMAN_GENIS_(U)r	Ur	NI	I	FC	FIIL_ZAMAN		GZ_OLUMSUZ, OZEL_GZ, DUSME_UNLU_GZ, DONUSUM_U, DONUSUM_A, 	ar, er, ır, ir, ur, ür, r, z, 	TRUE	FIIL_GENISZAMAN_IR	VVI_TAORSH	anlar, gelir, korur, görür, kalır, yapar, eder		Bu ek Ar, Ur ve z olmak üzere üç farklı yüzeye sahip olabilir. Şimdilik tek bir ek olarak tanımladık. Ve durumu kotarmak için çeşitli kurallar yazdık. 
FC_YF_SUREKLILIK_(y)Adur	yAdur	NI	D	FFY	YF_SUREKLILIK		DUSME_UNSUZ, DONUSUM_A, 	adur, edur, yadur, yedur, 		FIIL_SURERLIK_EDUR	VVI_TDUR	yazadur, okuyadur, gidedur, bekleyedur		(y)A zarf fiil eki+durmak yardımcı fiili. Belli bir zamandan beri yapılma veya belli bir durumda kalma gibi anlamlar katar.
FC_YF_SUREKLILIK_(y)Agel	yAgel	NI	D	FFY	YF_SUREKLILIK		DUSME_UNSUZ, DONUSUM_A, 	agel, egel, yagel, yegel, 		FIIL_SURERLIK_EGEL	VVI_TGEL	okuyagel, düşegelir, alagel, bekleyegel		(y)A zarf fiil eki+gelmek yardımcı fiili. Belli bir zamandan beri yapılma veya belli bir durumda kalma gibi anlamlar katar.
FC_YF_SUREKLILIK_(y)Agör	yAgör	NI	D	FFY	YF_SUREKLILIK		DUSME_UNSUZ, DONUSUM_A, 	agör, egör, yagör, yegör, 		FIIL_SURERLIK_EGOR	VVI_TGOR	okuyagör, düşegör, bakagör, bekleyegör		(y)A zarf fiil eki+görmek yardımcı fiili. Belli bir zamandan beri yapılma veya belli bir durumda kalma gibi anlamlar katar.
FC_YF_SUREKLILIK_(y)Akal	yAkal	NI	D	FFY	YF_SUREKLILIK		DUSME_UNSUZ, DONUSUM_A, 	akal, ekal, yakal, yekal, 		FIIL_SURERLIK_EKAL	VVI_TKAL	yazakal, okuyakal, görekaldım, bakakalmış, şaşakaldı, bekleyekaldı, kalakaldı		(y)A zarf fiil eki+kalmak yardımcı fiili. Belli bir zamandan beri yapılma veya belli bir durumda kalma gibi anlamlar katar.
FC_YF_TEZLIK_(y)Uver	yUver	NI	D	FFY	YF		DUSME_UNSUZ, DONUSUM_U, 	ıver, iver, uver, üver, yıver, yiver, yuver, yüver, 		FIIL_TEZLIK_IVER		yapıvermek, sıkılıverdi, kayıvermiş, okuyuverdi, geliver, buluver, üzülüverdi, anlayıvermiş, bekleyiver		(y)U zarf-fiil eki ile ver- yardımcı fiilinden oluşur. Çabukluk, birdenbirelik, kendiliğinden veya rahatlıkla olma gibi anlamlar katar.
FC_YF_YAKLASMA_(y)Ayaz	yAyaz	NI	D	FFY	YF_YAKLASMA	genis_Ar	DUSME_UNSUZ, DONUSUM_A	ayaz, eyaz, yayaz, yeyaz, 		FIIL_YAKLASMA_AYAZ	VVI_TYAZ	düşeyaz, unutayaz, okuyayazdım, öleyazmış, titreyeyazdım		(y)A zarf fiil eki+yazmak yardımcı fiili. Bir fiilin gerçekleşmeye çok yaklaşmış olması anlamını katar.
FC_YF_YETERLILIK_(y)Abil	yAbil	NI	D	FFY	YF		DUSME_UNSUZ, DONUSUM_A, 	abil, ebil, yabil, yebil, 		FIIL_YETENEK_EBIL	VVI_TABIL	gelebilir, bakabilmiş, yürüyebildim, okuyabildi		Bu ek aslında bir yardımcı fiildir. Fiillerle birleşerek birleşik fiil yapar. (y)A zarf fiil eki ile bil- yardımcı fiilinden oluşur. Yapabilme gücü, imkân ve ihtimal (olasılık) anlamlarını katar.
FC_YF_YETERSIZLIK_(y)AmA	yAmA	NI	D	FFY	YF		DUSME_UNSUZ, DONUSUM_A, 	ama, eme, amı, emi, yama, yeme, yamı, yemi, 		FIIL_YETERSIZLIK_E + FIIL_OLUMSUZLUK_ME	VVI_ANEG	yazamaz, okuyamaz, gelemedi, yürüyememiş		Bu ek aslında bir yardımcı fiildir. Fiillerle birleşerek birleşik fiil yapar.
FIILIMSI_ISIM_(y)Uş	yUş	D	D	FIY			DUSME_UNSUZ, DONUSUM_U, 	yış, yiş, yuş, yüş, ış, iş, uş, üş, 		FIIL_DONUSUM_IS	NVD_YIS	dalış, geçiş, gidiş, vuruş, görüş, saklayış, bekleyiş, koruyuş, yürüyüş		
FIILIMSI_ISIM_mA	mA	D	D	FIY			DONUSUM_A, 	me, ma, 		FIIL_DONUSUM_ME	JVD_MA	kaplama, dökme, yapma, serpme		
FIILIMSI_ISIM_mAk	mAk	D	D	FIY			DONUSUM_A, 	mek, mak, 		FIIL_MASTAR_MEK	NVD_MAK	yapmak, yemek, çakmak		
FIILIMSI_SIFAT_(y)AcAK	yAcAk	D	D	FSY			DONUSUM_A, DUSME_UNSUZ, YUMUSAMA_kğ, 	acak, ecek, yacak, yecek, acağ, eceğ, yeceğ, yacağ, 		FIIL_DONUSUM_ECEK	JVD_ACAK	oturacak, içecek, söylenecek, olmayacak, bekleyecek, oturacağı, bekleyeceği, geleceği, saklayacağın		
FIILIMSI_SIFAT_(y)An	yAn	D	D	FSY			DONUSUM_A, DUSME_UNSUZ, 	an, en, yan, yen, 		FIILIMSI_SIFAT_EN	NVD_AN	gelen, giden, bölünen, kaçan, kalan, yaratan, sevilen, gören, gelen, giden, bekleyen, susayan		
FIILIMSI_SIFAT_(y)AsI	yAsI	D	D	FSY			DONUSUM_A, DONUSUM_I, DUSME_UNSUZ, 	ası, esi, yası, yesi, 		FIIL_DONUSUM_ESI		çatlayası, boyu devrilesi, olası, yetişmeyesi		
FIILIMSI_SIFAT_(y)AsIcA	yAsIcA	D	D	FSY			DONUSUM_A, DONUSUM_I, DUSME_UNSUZ, 	asıca, esice, yasıca, yesice, 		FIIL_DONUSUM_ESICE		kudurasıca, geberesice, çatlayasıca, gülmeyesice		
FIILIMSI_SIFAT_DUK	DUk	D	D	FSY			DONUSUM_D, DONUSUM_U, YUMUSAMA_kğ, 	dık, dik, duk, dük, dığ, diğ, duğ, düğ, tığ, tiğ, tuğ, tüğ, tık, tik, tuk, tük 		FIIL_BELIRTME_DIK				
FIILIMSI_SIFAT_mAz	mAz	D	D	FSY			DONUSUM_A, 	maz, mez, 		FIIL_DONUSUM_MEZ	JVD_MAZ	görünmez, yanmaz, yılmaz, utanmaz		
FIILIMSI_SIFAT_mUş	mUş	D	D	FSY			DONUSUM_U, 	mış, miş, muş, müş, 		FIIL_DONUSUM_MIS	JVD_MIS	geçmiş, okumuş, pişmiş, yanmış, ölmüş		
FIILIMSI_ZARF_(y)A	yA	D	D	FZY			DONUSUM_A, DUSME_UNSUZ, 	a, e, ya, ye, 				ortaklaşa, nöbetleşe, sapa, çalışa çalışa, bekleye bekleye, anlaya anlaya, diye, geçe		Aslında zarf-fiil ekidir.
FIILIMSI_ZARF_(y)AlI	yAlI	D	D	FZY			DONUSUM_A, DONUSUM_I, DUSME_UNSUZ, 	alı, eli, yalı, yeli, 				yapalı, geleli, almayalı, dinlemeyeli		
