root	surfaces	lex	Anlam	active	Id	flags	rules	Ekler	AltTür	Dil	BüyükHarf	FY_EDILGEN_(U)n	FY_EDILGEN_Ul	Geçişlilik	E-hali
ab					ISIM	isim				Farsça	Hayır				
aba					ISIM	isim				Türkçe	Hayır				
aba					ISIM	isim				Arapça	Hayır				
abadi					ISIM	isim				Farsça	Hayır				
abajur					ISIM	isim				Fransızca	Hayır				
abaküs					ISIM	isim			matematik	Fransızca	Hayır				
aban					FIIL	fiil				Türkçe					
Abana					ISIM	özel			ilçe	Türkçe	Evet				
abandone					SIFAT	sıfat			spor	Fransızca	Hayır				
abani					ISIM	isim				Arapça	Hayır				
abanoz					ISIM	isim				Farsça	Hayır				
abanozgiller					ISIM	isim			bitki bilimi	Farsça	Hayır				
abart					FIIL	fiil, ettirtgen_t				Türkçe	Hayır				
abartı					ISIM	isim				Türkçe	Hayır				
abartma					ISIM	isim, kök_değil									
abaşo					ISIM	isim			denizcilik	Rumca	Hayır				
abat					SIFAT	sıfat				Farsça	Hayır				
Abaza					OZEL	özel			halk	Türkçe	Evet				
abazan					SIFAT	sıfat				Türkçe	Hayır				
Abbas					OZEL	özel			erkek ismi	Arapça	Evet				
abdal					ISIM	isim				Arapça	Hayır				
Abdal					OZEL	özel			tarih/oymak ismi	Arapça	Evet				
abdest					ISIM	isim			din bilgisi	Farsça	Hayır				
abdestbozan					ISIM	isim			hayvan bilimi	Fa-Tr	Hayır				
abdesthane					ISIM	isim				Farsça	Hayır				
abdiaciz		abdiâciz			ISIM	isim, şapkasız	SAPKA_DUSUR_A			Arapça	Hayır				
abdiâciz					ISIM	isim, şapkalı				Arapça	Hayır				
abdülleziz					ISIM	isim			bitki bilimi	Arapça	Hayır				
abe					UNLEM	ünlem				Türkçe	Hayır				
abece					ISIM	isim			dil bilgisi	Türkçe	Hayır				
aberasyon					ISIM	isim			gök bilimi	Fransızca	Hayır				
abes					SIFAT	sıfat				Arapça	Hayır				
Abhazca					ISIM	isim, sıfat			lisan		Evet				
Abhazya					OZEL	özel			ülke						
abıhayat					ISIM	isim				Fa-Ar	Hayır				
abıkevser					ISIM	isim				Fa-Ar	Hayır				
abi					ISIM	isim				Türkçe	Hayır				
abide					ISIM	isim			mimarlık	Arapça	Hayır				
abidevi					SIFAT	sıfat				Arapça	Hayır				
abis					ISIM	isim			coğrafya	Fransızca	Hayır				
abiye					ISIM	isim				Fransızca	Hayır				
abla					ISIM	isim				Türkçe	Hayır				
ablak	ablağ				SIFAT	sıfat	YUMUSAMA_kğ			Arapça	Hayır				
ablatif					ISIM	isim			dil bilgisi	Fransızca	Hayır				
ablatya					ISIM	isim				Rumca	Hayır				
ablavut					SIFAT	sıfat				Türkçe	Hayır				
abli					ISIM	isim			denizcilik	Rumca	Hayır				
abluka					ISIM	isim			askerlik	İtalyanca	Hayır				
abone					ISIM	isim				Fransızca	Hayır				
abonman					ISIM	isim				Fransızca	Hayır				
aborda					ISIM	isim			denizcilik	İtalyanca	Hayır				
Aborjin					OZEL	özel			halk	Fransızca	Evet				
abosa					ISIM	isim			denizcilik	İtalyanca	Hayır				
abra					ISIM	isim				Türkçe	Hayır				
abra	abrı				FIIL	fiil				Türkçe					
abrakadabra					ISIM	isim				Fransızca	Hayır				
abraş					SIFAT	sıfat				Arapça	Hayır				
abstre					SIFAT	sıfat			felsefe	Fransızca	Hayır				
absürt					SIFAT	sıfat				Fransızca	Hayır				
abu					UNLEM	ünlem				Türkçe	Hayır				
abuhava					ISIM	isim			coğrafya	Farsça	Hayır				
abuk	abuğ				SIFAT	sıfat	YUMUSAMA_kğ			Türkçe	Hayır				
abuli					ISIM	isim			ruh bilimi	Fransızca	Hayır				
abullabut					SIFAT	sıfat				Arapça	Hayır				
abur					ISIM	ikileme									
abus					SIFAT	sıfat				Arapça	Hayır				
abuzambak	abuzambağ				ISIM	isim	YUMUSAMA_kğ	ğı		Fa-Ar	Hayır				
acaba					ZARF	zarf				Arapça	Hayır				
Acar					OZEL	özel			halk	Gürcüce	Evet				
acar					SIFAT	sıfat				Arapça	Hayır				
Acara					OZEL	özel			halk	Gürcüce	Evet				
Acarca					ISIM	isim, sıfat			lisan		Evet				
acayip	acayib				SIFAT	sıfat	YUMUSAMA_pb	bi		Arapça	Hayır				
acele					SIFAT	sıfat				Arapça	Hayır				
aceleten					ZARF	zarf				Arapça	Hayır				
acem					ISIM	isim			müzik	Arapça	Hayır				
Acem					OZEL	özel			halk	Arapça	Evet				
acemaşiran					ISIM	isim			müzik	Arapça	Hayır				
acemboru					TAMLAMA	isim			bitki bilimi	Ar-Tr	Hayır				
acembuselik	acembuseliğ				ISIM	isim	YUMUSAMA_kğ	ği	müzik		Hayır				
acemi					SIFAT	sıfat				Arapça	Hayır				
acemkürdi					ISIM	isim			müzik	Arapça	Hayır				
acente					ISIM	isim				İtalyanca	Hayır				
acep					ZARF	zarf				Arapça	Hayır				
aceze					ISIM	isim				Arapça	Hayır				
acı					ISIM	isim				Türkçe	Hayır				
acı					FIIL	fiil					Hayır	E		Hayır	
Acıgöl					OZEL	özel			ilçe	Türkçe	Evet				
acık					FIIL	fiil				Türkçe					
acıkara					ISIM	isim			bitki bilimi	Türkçe	Hayır				
acıklı					SIFAT	sıfat				Türkçe	Hayır				
acılan					FIIL	fiil				Türkçe					
acımık	acımığ				ISIM	isim	YUMUSAMA_kğ	ğı	bitki bilimi	Türkçe	Hayır				
acımtırak	acımtırağ				SIFAT	sıfat	YUMUSAMA_kğ			Türkçe	Hayır				
acın					FIIL	fiil									
Acıpayam					OZEL	özel			ilçe	Tr-Fa	Evet				
acırak	acırağ			F	SIFAT	sıfat	YUMUSAMA_kğ			Türkçe	Hayır				
acırga					ISIM	isim				Türkçe	Hayır				
acibe					ISIM	isim				Arapça	Hayır				
acil					SIFAT	sıfat				Arapça	Hayır				
acilen					ZARF	zarf, ekfiil_alır				Arapça	Hayır				
aciz	acz				ISIM	isim	DUSME_SON_UNLU	czi		Arapça	Hayır				
aciz		âciz			SIFAT	sıfat, şapkasız	SAPKA_DUSUR_A			Arapça	Hayır				
âciz					SIFAT	sıfat, şapkalı				Arapça	Hayır				
acizane		âcizane			ZARF	zarf, şapkasız	SAPKA_DUSUR_A			Ar-Fa	Hayır				
âcizane					ZARF	zarf, şapkalı				Ar-Fa	Hayır				
acube					ISIM	isim				Arapça	Hayır				
acul		acúl			SIFAT	sıfat	OZEL_INCELME_U			Arapça	Hayır				
acun					ISIM	isim			coğrafya	Soğdca	Hayır				
acur					ISIM	isim			bitki bilimi	Arapça	Hayır				
acuze					ISIM	isim				Arapça	Hayır				
acyo					ISIM	isim			ticaret	İtalyanca	Hayır				
aç	ac				SIFAT	sıfat	YUMUSAMA_çc	çı, -cı		Türkçe	Hayır				
aç					FIIL	fiil, genis_Ar								E	
açelya					ISIM	isim			bitki bilimi	Rumca	Hayır				
açgöz					SIFAT	sıfat				Türkçe	Hayır				
açı					ISIM	isim			matematik	Türkçe	Hayır				
açık	açığ				SIFAT	sıfat	YUMUSAMA_kğ	ğı		Türkçe	Hayır				
açıkağız	açıkağz				ISIM	isim	DUSME_SON_UNLU	ğzı	bitki bilimi	Türkçe	Hayır				
açıkgöz					SIFAT	sıfat				Türkçe	Hayır				
açıkla	açıklı				FIIL	fiil				Türkçe					
açıklıkölçer					ISIM	isim			fizik	Türkçe	Hayır				
açılım					ISIM	isim									
açım				F	ISIM	isim									
açım					ISIM	isim									
açımla	açımlı			F	FIIL	fiil				Türkçe					
açın					FIIL	fiil			biyoloji	Türkçe					
açınım				F	ISIM	isim									
açınsa	açınsı				FIIL	fiil			coğrafya	Türkçe					
açıortay					ISIM	isim			matematik	Türkçe	Hayır				
açıölçer					ISIM	isim			matematik	Türkçe	Hayır				
açıt					ISIM	isim			mimarlık	Türkçe	Hayır				
açkı					ISIM	isim				Türkçe	Hayır				
açkıla	açkılı				FIIL	fiil				Türkçe					
açmaz					ISIM	isim									
açval					ISIM	isim			teknik	Türkçe	Hayır				
ad	add				ISIM	isim	CIFTLESME_SON_UNSUZ	ddi		Arapça	Hayır				
ad					ISIM	isim				Türkçe	Hayır				
ada					ISIM	isim			coğrafya	Türkçe	Hayır				
ada	adı				FIIL	fiil				Türkçe					
adabımuaşeret					ISIM	isim			toplum bilimi	Arapça	Hayır				
adak	adağ				ISIM	isim	YUMUSAMA_kğ								
adaklan				F	FIIL	fiil				Türkçe					
Adaklı					OZEL	özel			ilçe	Türkçe	Evet				
Adalar					OZEL	özel			ilçe	Türkçe	Evet				
adale					ISIM	isim			anatomi	Arapça	Hayır				
adalet					ISIM	isim				Arapça	Hayır				
adam					ISIM	isim				Arapça	Hayır				
adamakıllı					ZARF	zarf					Hayır				
adamcıl					SIFAT	sıfat					Hayır				
adamkök	adamköğ				TAMLAMA	isim	YUMUSAMA_kğ		bitki bilimi	Ar-Tr	Hayır				
adamot					TAMLAMA	isim			bitki bilimi	Ar-Tr	Hayır				
Adana					OZEL	özel			il	Rumca	Evet				
adanmışlık	adanmışlığ				ISIM	isim	YUMUSAMA_kğ, 	ğı		Türkçe	Hayır				
adap	adab				ISIM	isim	YUMUSAMA_pb	bı		Arapça	Hayır				
adaptasyon					ISIM	isim				Fransızca	Hayır				
adapte					SIFAT	sıfat				Fransızca	Hayır				
adaptör					ISIM	isim				Fransızca	Hayır				
adaş					ISIM	isim				Türkçe	Hayır				
adavet					ISIM	isim				Arapça	Hayır				
aday					ISIM	isim				Türkçe	Hayır				
adayavru					TAMLAMA	isim				Türkçe	Hayır				
addet	added				FIIL	fiil, genis_Ar	YUMUSAMA_td	der		Ar-Tr					
addolun					FIIL	fiil, edilgen									
adedi		adedî			ZARF	zarf, şapkasız	SAPKA_DUSUR_I			Arapça	Hayır				
adedî					ZARF	zarf, şapkalı				Arapça	Hayır				
adedimürettep	adedimüretteb				ISIM	isim	YUMUSAMA_pb	bi	matematik	Arapça	Hayır				
adem					ISIM	isim				Arapça	Hayır				
adem		âdem			ISIM	isim, şapkasız	SAPKA_DUSUR_A			Arapça	Hayır				
Adem		Âdem			OZEL	özel, şapkasız	SAPKA_DUSUR_A		erkek ismi	Arapça	Evet				
âdem					ISIM	isim, şapkalı				Arapça	Hayır				
Âdem					OZEL	özel, şapkalı			erkek ismi	Arapça	Evet				
ademelma		âdemelma			TAMLAMA	isim, şapkasız	SAPKA_DUSUR_A			Ar-Tr	Hayır				
âdemelma					TAMLAMA	isim, şapkalı				Ar-Tr	Hayır				
ademimerkeziyet					ISIM	isim			toplum bilimi	Arapça	Hayır				
ademiyet					ISIM	isim				Arapça	Hayır				
ademiyet		âdemiyet			ISIM	isim, şapkasız	SAPKA_DUSUR_A			Arapça	Hayır				
âdemiyet					ISIM	isim, şapkalı				Arapça	Hayır				
ademoğul	ademoğl	âdemoğul			TAMLAMA	isim, şapkasız	SAPKA_DUSUR_A, DUSME_SON_UNLU			Ar-Tr	Hayır				
âdemoğul	âdemoğl				TAMLAMA	isim, şapkalı	DUSME_SON_UNLU			Ar-Tr	Hayır				
adenit					ISIM	isim			tıp	Fransızca	Hayır				
adese					ISIM	isim			fizik	Arapça	Hayır				
adet	aded				ISIM	isim	YUMUSAMA_td	di	matematik	Arapça	Hayır				
adet		âdet			ISIM	isim, şapkasız	SAPKA_DUSUR_A		toplum bilimi	Arapça	Hayır				
âdet					ISIM	isim, şapkalı			toplum bilimi	Arapça	Hayır				
adeta		âdeta			ZARF	zarf, şapkasız	SAPKA_DUSUR_A			Arapça	Hayır				
âdeta					ZARF	zarf, şapkalı				Arapça	Hayır				
adıl					ISIM	isim			dil bilgisi	Türkçe	Hayır				
adım					ISIM	isim									
adımbaşı					ZARF	zarf				Türkçe	Hayır				
adımla	adımlı				FIIL	fiil				Türkçe					
adımsayar					ISIM	isim			coğrafya	Türkçe	Hayır				
Adıyaman					OZEL	özel			il	Arapça	Evet				
adi					SIFAT	sıfat				Arapça	Hayır				
adil		âdil			SIFAT	sıfat, şapkasız	SAPKA_DUSUR_A			Arapça	Hayır				
âdil					SIFAT	sıfat, şapkalı				Arapça	Hayır				
adilane		âdilane			ZARF	zarf, şapkasız, ekfiil_alır	SAPKA_DUSUR_A			Ar-Fa	Hayır				
âdilane					ZARF	zarf, şapkalı				Ar-Fa	Hayır				
Adilcevaz					OZEL	özel			ilçe	Arapça	Evet				
adisyon					ISIM	isim				Fransızca	Hayır				
adlan					FIIL	fiil				Türkçe					
adlandırım					ISIM	isim									
adli					SIFAT	sıfat			hukuk	Arapça	Hayır				
adliye					ISIM	isim				Arapça	Hayır				
adrenalin					ISIM	isim				Fransızca	Hayır				
adres					ISIM	isim				Fransızca	Hayır				
aerobik	aerobiğ				ISIM	isim	YUMUSAMA_kğ	ği	spor	İngilizce	Hayır				
aerodinamik	aerodinamiğ				ISIM	isim	YUMUSAMA_kğ	ği		Fransızca	Hayır				
aeroloji					ISIM	isim				Fransızca	Hayır				
aerolojik	aerolojiğ				SIFAT	sıfat	YUMUSAMA_kğ			Fransızca	Hayır				
af	aff				ISIM	isim	CIFTLESME_SON_UNSUZ	ffı		Arapça	Hayır				
afacan					ISIM	isim				Türkçe	Hayır				
afak					ISIM	isim				Arapça	Hayır				
afakan					ISIM	isim				Türkçe	Hayır				
afaki					SIFAT	sıfat				Arapça	Hayır				
afal					SIFAT	sıfat				Türkçe	Hayır				
afalla	afallı				FIIL	fiil				Türkçe					
afat					ISIM	isim				Arapça	Hayır				
afazi					ISIM	isim			tıp	Fransızca	Hayır				
aferin					UNLEM	ünlem				Farsça	Hayır				
aferist					ISIM	isim				Fransızca	Hayır				
afet					ISIM	isim				Arapça	Hayır				
afetzede					ISIM	isim				Ar-Fa	Hayır				
affet	affed				FIIL	fiil, genis_Ar	YUMUSAMA_td, 	der		Türkçe	Hayır		E	Evet	
affet	affed				FIIL	fiil, genis_Ar	YUMUSAMA_td	der		Ar-Tr					
affettuoso					ZARF	zarf			müzik	İtalyanca	Hayır				
affeyle	affeyli				FIIL	fiil				Ar-Tr					
affolun					FIIL	fiil, edilgen									
Afgan					OZEL	özel			halk	Türkçe	Evet				
Afganistan					OZEL	özel			ülke						
afi					ISIM	isim				Yunanca	Hayır				
afif					SIFAT	sıfat				Arapça	Hayır				
afife					SIFAT	sıfat				Arapça	Hayır				
afis					ISIM	isim			hayvan bilimi		Hayır				
afiş					ISIM	isim				Fransızca	Hayır				
afişe					SIFAT	sıfat				Fransızca	Hayır				
afiyet					ISIM	isim				Arapça	Hayır				
afoni					ISIM	isim			tıp	Fransızca	Hayır				
aforizm					ISIM	isim				Fransızca	Hayır				
aforizma					ISIM	isim				Fransızca	Hayır				
aforoz					ISIM	isim			din bilgisi	Rumca	Hayır				
aforozla	aforozlu				FIIL	fiil									
afra					ISIM	ikileme									
Afrika					OZEL	özel			kıta	Arapça	Evet				
Afrikaans					ISIM	isim, sıfat			lisan		Evet				
afrodizyak	afrodizyağ				ISIM	isim	YUMUSAMA_kğ	ğı		Fransızca	Hayır				
afsun					ISIM	isim				Farsça	Hayır				
afsunla	afsunlu				FIIL	fiil									
Afşar					OZEL	özel			tarih/Türk boyu	Türkçe	Evet				
Afşin					OZEL	özel			ilçe	Türkçe	Evet				
aft					ISIM	isim			tıp	Fransızca	Hayır				
aftos					ISIM	isim				Rumca	Hayır				
afyon					ISIM	isim			kimya	Arapça	Hayır				
Afyon					OZEL	özel			il						
Afyonkarahisar					OZEL	özel			il	Ar-Tr-Ar	Evet				
afyonkeş					ISIM	isim				Ar-Fa	Hayır				
agah		agâh			SIFAT	sıfat, şapkasız	SAPKA_DUSUR_A			Farsça	Hayır				
agâh					SIFAT	sıfat, şapkalı				Farsça	Hayır				
agami					ISIM	isim			hayvan bilimi	Rumca	Hayır				
aganta					ISIM	isim			denizcilik	İtalyanca	Hayır				
agaragar					ISIM	isim				Malayca	Hayır				
agel					ISIM	isim				Arapça	Hayır				
agitato					ZARF	zarf			müzik	İtalyanca	Hayır				
aglütinasyon					ISIM	isim			biyoloji	Fransızca	Hayır				
aglütinin					ISIM	isim			anatomi	Fransızca	Hayır				
agnosi					ISIM	isim			ruh bilimi	Fransızca	Hayır				
agnostik	agnostiğ				SIFAT	sıfat	YUMUSAMA_kğ		felsefe	Fransızca	Hayır				
agnostisizm					ISIM	isim			felsefe	Fransızca	Hayır				
agnozi					ISIM	isim			ruh bilimi	Fransızca	Hayır				
Agop					OZEL	özel			erkek ismi	İbranice	Evet				
agora					ISIM	isim				Rumca	Hayır				
agorafobi					ISIM	isim			tıp	Rumca-Fr	Hayır				
agraf					ISIM	isim				Fransızca	Hayır				
agrafi					ISIM	isim			ruh bilimi	Yunanca	Hayır				
agrandisman					ISIM	isim				Fransızca	Hayır				
agrandisör					ISIM	isim				Fransızca	Hayır				
agrega					ISIM	isim				Fransızca	Hayır				
agreman					ISIM	isim				Fransızca	Hayır				
agresif					SIFAT	sıfat				Fransızca	Hayır				
agronomi					ISIM	isim				Fransızca	Hayır				
agu					UNLEM	ünlem				Türkçe	Hayır				
agula	agulu				FIIL	fiil				Türkçe					
aguş					ISIM	isim				Farsça	Hayır				
ağ					ISIM	isim				Türkçe	Hayır				
ağ					ISIM	isim				Türkçe	Hayır				
ağ				F	FIIL	fiil, genis_Ar		ar		Türkçe					
ağ					FIIL	fiil, genis_Ar		ar		Türkçe					
ağa					ISIM	isim				Moğolca	Hayır				
ağababa					ISIM	isim				Mo-Tr	Hayır				
ağabey					ISIM	isim				Mo-Tr	Hayır				
ağaç	ağac				ISIM	isim	YUMUSAMA_çc	cı	bitki bilimi	Türkçe	Hayır				
ağaçdelen					ISIM	isim			hayvan bilimi	Türkçe	Hayır				
ağaçkakan					ISIM	isim			hayvan bilimi	Türkçe	Hayır				
ağaçkesen					ISIM	isim			hayvan bilimi	Türkçe	Hayır				
ağaçküpe					TAMLAMA	isim			bitki bilimi	Türkçe	Hayır				
ağaçla	ağaçlı				FIIL	fiil				Türkçe					
Ağaçören					OZEL	özel			ilçe	Türkçe	Evet				
ağaçsıl					SIFAT	sıfat				Türkçe	Hayır				
ağalan					FIIL	fiil									
ağar					FIIL	fiil, ettirgen_t				Türkçe					
ağarık	ağarığ				SIFAT	sıfat	YUMUSAMA_kğ	ğı		Türkçe	Hayır				
ağartı					ISIM	isim				Türkçe	Hayır				
ağbenek	ağbeneğ				ISIM	isim	YUMUSAMA_kğ	ği	bitki bilimi	Türkçe	Hayır				
ağda					ISIM	isim				Arapça	Hayır				
ağdalan					FIIL	fiil									
ağdır					FIIL	fiil				Türkçe					
ağı					ISIM	isim				Türkçe	Hayır				
ağıl					ISIM	isim				Türkçe	Hayır				
ağıla	ağılı				FIIL	fiil				Türkçe					
ağıllan					FIIL	fiil				Türkçe					
ağım				F	ISIM	isim									
Ağın					OZEL	özel			ilçe	Türkçe	Evet				
ağın					FIIL	fiil				Türkçe					
ağır					SIFAT	sıfat				Türkçe	Hayır				
ağırayak	ağırayağ				SIFAT	sıfat	YUMUSAMA_kğ	ğı		Türkçe	Hayır				
ağırbaşlı					SIFAT	sıfat				Türkçe	Hayır				
ağırcanlı					SIFAT	sıfat					Hayır				
ağırelli					SIFAT	sıfat				Türkçe	Hayır				
ağırkanlı					ISIM	isim			ruh bilimi	Türkçe	Hayır				
ağırla	ağırlı				FIIL	fiil				Türkçe					
ağırsa	ağırsı				FIIL	fiil				Türkçe					
ağırşak	ağırşağ				ISIM	isim	YUMUSAMA_kğ	ğı		Türkçe	Hayır				
ağırşaklan					FIIL	fiil				Türkçe					
ağırtop					ISIM	isim				Türkçe	Hayır				
ağıt	ağıd				ISIM	isim	YUMUSAMA_td			Türkçe	Hayır				
ağız	ağz				ISIM	isim	DUSME_SON_UNLU	ğzı	anatomi	Türkçe	Hayır				
ağız			Yeni doğurmuş memelilerin ilk sütü.	F	ISIM	isim				Türkçe	Hayır				
ağızcıl					SIFAT	sıfat				Türkçe	Hayır				
ağızla	ağızlı				FIIL	fiil			denizcilik	Türkçe					
ağızsıl					SIFAT	sıfat				Türkçe	Hayır				
ağla	ağlı				FIIL	fiil				Türkçe					
ağlantı					ISIM	isim				Türkçe	Hayır				
Ağlasun					OZEL	özel			ilçe	Türkçe	Evet				
Ağlı					OZEL	özel			ilçe	Türkçe	Evet				
ağna	ağnı				FIIL	fiil				Türkçe					
ağnam					ISIM	isim				Arapça	Hayır				
ağraz					ISIM	isim				Arapça	Hayır				
ağrı					ISIM	isim				Türkçe	Hayır				
Ağrı					OZEL	özel			il	Türkçe	Evet				
ağrı					FIIL	fiil				Türkçe					
ağustos					ISIM	isim				Latince	Hayır				
ağyar					ISIM	isim				Arapça	Hayır				
ah					UNLEM	ünlem				Türkçe	Hayır				
ah		âh			ISIM	isim, şapkasız	SAPKA_DUSUR_A			Farsça	Hayır				
âh					ISIM	isim, şapkalı				Farsça	Hayır				
aha					EDAT	edat				Türkçe	Hayır				
ahali					ISIM	isim				Arapça	Hayır				
ahar					ISIM	isim				Farsça	Hayır				
aharla	aharlı				FIIL	fiil									
ahbap	ahbab				ISIM	isim	YUMUSAMA_pb	bı		Arapça	Hayır				
ahcar					ISIM	isim				Arapça	Hayır				
ahçı					ISIM	isim				Türkçe	Hayır				
ahdet	ahded				FIIL	fiil, genis_Ar	YUMUSAMA_td	der		Ar-Tr					
ahdi		ahdî			SIFAT	sıfat, şapkasız	SAPKA_DUSUR_I			Arapça	Hayır				
ahdî					SIFAT	sıfat, şapkalı				Arapça	Hayır				
Ahd-i Atik					OZEL	özel			din bilgisi	Arapça	Evet				
Ahd-i Cedit					OZEL	özel			din bilgisi	Arapça	Evet				
ahenk	aheng				ISIM	isim	YUMUSAMA_kg	gi		Farsça	Hayır				
ahenktar					SIFAT	sıfat				Farsça	Hayır				
aheste					SIFAT	sıfat				Farsça	Hayır				
ahfat	ahfad				ISIM	isim	YUMUSAMA_td	dı		Arapça	Hayır				
Ahfeş					OZEL	özel			erkek ismi	Arapça	Evet				
ahır					ISIM	isim				Türkçe	Hayır				
ahırdaş					ISIM	isim				Türkçe	Hayır				
ahırla	ahırlı				FIIL	fiil				Türkçe					
Ahırlı					OZEL	özel			ilçe	Türkçe	Evet				
ahi					ISIM	isim				Arapça	Hayır				
Ahi					OZEL	özel			tarih	Arapça	Evet				
ahi					SIFAT	sıfat				Türkçe	Hayır				
ahir					SIFAT	sıfat				Arapça	Hayır				
ahiren					ZARF	zarf				Arapça	Hayır				
ahiret					ISIM	isim			din bilgisi	Arapça	Hayır				
ahit	ahd				ISIM	isim	DUSME_SON_UNLU, YUMUSAMA_td	hdi		Arapça	Hayır				
ahitname					ISIM	isim				Ar-Fa	Hayır				
ahiz	ahz				ISIM	isim	DUSME_SON_UNLU	hzi		Arapça	Hayır				
ahize					ISIM	isim				Arapça	Hayır				
ahkam		ahkâm			ISIM	isim, şapkasız	SAPKA_DUSUR_A			Arapça	Hayır				
ahkâm					ISIM	isim, şapkalı				Arapça	Hayır				
ahla	ahlı				FIIL	fiil				Türkçe					
ahlaf					ISIM	isim				Arapça	Hayır				
ahlak					ISIM	isim				Arapça	Hayır				
ahlaken					ZARF	zarf				Arapça	Hayır				
ahlaki					SIFAT	sıfat				Arapça	Hayır				
ahlakiyat					ISIM	isim			toplum bilimi	Arapça	Hayır				
ahlat					ISIM	isim			bitki bilimi	Rumca	Hayır				
ahlat					ISIM	isim				Arapça	Hayır				
Ahlat					OZEL	özel			ilçe	Rumca	Evet				
ahlatıerbaa					ISIM	isim				Arapça	Hayır				
ahmak	ahmağ				SIFAT	sıfat	YUMUSAMA_kğ	ğı		Arapça	Hayır				
ahmakıslatan					ISIM	isim				Ar-Tr	Hayır				
Ahmetli					OZEL	özel			ilçe		Evet				
ahraz					SIFAT	sıfat				Arapça	Hayır				
ahret					ISIM	isim				Arapça	Hayır				
ahşa					ISIM	isim			anatomi	Arapça	Hayır				
ahşap	ahşab				SIFAT	sıfat	YUMUSAMA_pb	bı		Arapça	Hayır				
ahtapot					ISIM	isim			hayvan bilimi	Rumca	Hayır				
ahu					ISIM	isim			hayvan bilimi	Farsça	Hayır				
ahududu					ISIM	isim			bitki bilimi	Farsça	Hayır				
ahuvah					ISIM	isim				Tr-Ar	Hayır				
ahval		ahvál			ISIM	isim	OZEL_INCELME_A	li		Arapça	Hayır				
ahzet	ahzed				FIIL	fiil, genis_Ar	YUMUSAMA_td	der		Ar-Tr					
ahzüita					ISIM	isim				Arapça	Hayır				
ahzükabz					ISIM	isim				Arapça	Hayır				
aidat					ISIM	isim				Arapça	Hayır				
aidiyet					ISIM	isim				Arapça	Hayır				
aile					ISIM	isim			toplum bilimi	Arapça	Hayır				
ailecek					ZARF	zarf					Hayır				
ailevi					SIFAT	sıfat				Arapça	Hayır				
ait					SIFAT	sıfat				Arapça	Hayır				
ajan					ISIM	isim				Fransızca	Hayır				
ajanda					ISIM	isim				Fransızca	Hayır				
ajans					ISIM	isim				Fransızca	Hayır				
ajitasyon					ISIM	isim			tıp	Fransızca	Hayır				
ajitatör					SIFAT	sıfat				Fransızca	Hayır				
ajite					ISIM	isim				Fransızca	Hayır				
ajur					ISIM	isim				Fransızca	Hayır				
ak					ISIM	isim				Türkçe	Hayır				
ak					FIIL	fiil, genis_Ar, ettirgen_ut		ar		Türkçe			E	H	
aka					ISIM	isim				Moğolca	Hayır				
akabe					ISIM	isim				Arapça	Hayır				
akabinde					ZARF	zarf, ekfiil_alır					Hayır				
akaç	akac				ISIM	isim	YUMUSAMA_çc	cı		Türkçe	Hayır				
akaçla	akaçlı				FIIL	fiil				Türkçe					
akademi					ISIM	isim				Fransızca	Hayır				
akademik	akademiğ				SIFAT	sıfat	YUMUSAMA_kğ			Fransızca	Hayır				
akademisyen					ISIM	isim				Fransızca	Hayır				
akağaç	akağac				ISIM	isim	YUMUSAMA_çc	cı	bitki bilimi	Türkçe	Hayır				
akait	akaid				ISIM	isim	YUMUSAMA_td	di	din bilgisi	Arapça	Hayır				
akaju					ISIM	isim			bitki bilimi	Fransızca	Hayır				
akak	akağ				ISIM	isim	YUMUSAMA_kğ	ğı		Türkçe	Hayır				
akala					ISIM	isim				İngilizce	Hayır				
akamber					ISIM	isim				Tr-Ar	Hayır				
akamet					ISIM	isim				Arapça	Hayır				
akar					ISIM	isim				Arapça	Hayır				
akaret					ISIM	isim				Arapça	Hayır				
akarsu					ISIM	isim		yu		Türkçe	Hayır				
akaryakıt					ISIM	isim				Türkçe	Hayır				
akasma					ISIM	isim			bitki bilimi	Türkçe	Hayır				
akasya					ISIM	isim			bitki bilimi	Fransızca	Hayır				
Akatça					ISIM	isim, sıfat			lisan		Evet				
akbaba					ISIM	isim			hayvan bilimi	Türkçe	Hayır				
akbabagiller					ISIM	isim			hayvan bilimi	Türkçe	Hayır				
akbakla					ISIM	isim				Tr-Ar	Hayır				
akbalık	akbalığ				ISIM	isim	YUMUSAMA_kğ	ğı	hayvan bilimi	Türkçe	Hayır				
akbalıkçıl					ISIM	isim			hayvan bilimi	Türkçe	Hayır				
akbasma					ISIM	isim				Türkçe	Hayır				
akbaş					ISIM	isim			hayvan bilimi	Türkçe	Hayır				
akbuğday					ISIM	isim			bitki bilimi	Türkçe	Hayır				
akburçak	akburçağ				ISIM	isim	YUMUSAMA_kğ	ğı	bitki bilimi	Türkçe	Hayır				
akciğer					ISIM	isim			anatomi	Tr-Fa	Hayır				
akça					ISIM	isim				Türkçe	Hayır				
Akçaabat					OZEL	özel		t'ı	ilçe	Tr-Fa	Evet				
akçaağaç	akçaağac				ISIM	isim	YUMUSAMA_çc	cı	bitki bilimi	Türkçe	Hayır				
akçaağaçgiller					ISIM	isim			bitki bilimi	Türkçe	Hayır				
Akçadağ					OZEL	özel			ilçe	Türkçe	Evet				
Akçakale					OZEL	özel			ilçe	Tr-Ar	Evet				
